epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1797.85,1.18725,0.92191,1.20971,0.52065,0.46445,0.47701,0.25861,1.66495,1.64988,1.61234,0.0003862,0.0003862,0.0003862
95,1816.56,1.21753,0.93169,1.2264,0.48857,0.47801,0.4667,0.25373,1.68352,1.67514,1.62771,0.0003796,0.0003796,0.0003796
96,1835.53,1.20925,0.92806,1.22275,0.50938,0.50169,0.49028,0.26696,1.66466,1.60884,1.60679,0.000373,0.000373,0.000373
97,1854.69,1.20216,0.90787,1.21318,0.53038,0.47413,0.49328,0.26628,1.68923,1.61414,1.63689,0.0003664,0.0003664,0.0003664
98,1873.48,1.19718,0.9059,1.21069,0.53251,0.46346,0.48368,0.25932,1.69031,1.63341,1.64049,0.0003598,0.0003598,0.0003598
99,1893.07,1.20564,0.90676,1.21349,0.51401,0.47529,0.47024,0.25455,1.66908,1.67341,1.60653,0.0003532,0.0003532,0.0003532
100,1912,1.2049,0.91241,1.2203,0.5184,0.46351,0.47179,0.25239,1.68465,1.67899,1.62514,0.0003466,0.0003466,0.0003466
101,1930.54,1.18259,0.90789,1.2111,0.49592,0.47239,0.46443,0.25111,1.69269,1.70717,1.62359,0.00034,0.00034,0.00034
102,1949.28,1.18343,0.8979,1.20541,0.52113,0.48385,0.47837,0.25495,1.70379,1.65851,1.64038,0.0003334,0.0003334,0.0003334
103,1967.9,1.17503,0.89442,1.19682,0.52165,0.46451,0.47197,0.25206,1.6898,1.6564,1.6282,0.0003268,0.0003268,0.0003268
104,1986.99,1.17158,0.87808,1.20045,0.49688,0.48486,0.47482,0.25401,1.71487,1.65941,1.64172,0.0003202,0.0003202,0.0003202
105,2006.22,1.16386,0.87574,1.19936,0.52248,0.47691,0.47881,0.25843,1.6855,1.6531,1.62433,0.0003136,0.0003136,0.0003136
106,2024.9,1.16031,0.86186,1.19013,0.48607,0.49247,0.48119,0.26073,1.70027,1.70323,1.63804,0.000307,0.000307,0.000307
107,2043.52,1.16447,0.86801,1.18993,0.50791,0.48577,0.47929,0.26111,1.68724,1.65406,1.62569,0.0003004,0.0003004,0.0003004
108,2062.06,1.16968,0.87636,1.19205,0.50988,0.48509,0.47913,0.26026,1.67725,1.65123,1.6222,0.0002938,0.0002938,0.0002938
109,2080.62,1.16859,0.87582,1.19738,0.54403,0.46743,0.48549,0.26442,1.69399,1.62341,1.63628,0.0002872,0.0002872,0.0002872
110,2099.14,1.15951,0.86871,1.18726,0.52908,0.48585,0.49845,0.26823,1.69579,1.60823,1.64165,0.0002806,0.0002806,0.0002806
